"WordCount","SentimentGI","NegativityGI","PositivityGI","SentimentHE","NegativityHE","PositivityHE","SentimentLM","NegativityLM","PositivityLM","RatioUncertaintyLM","SentimentQDAP","NegativityQDAP","PositivityQDAP"
8,0,0,0,0,0,0,0,0.125,0.125,0,0,0,0
7,-0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0
13,0.307692307692308,0,0.307692307692308,0,0,0,0,0,0,0,0.230769230769231,0,0.230769230769231
13,0,0.0769230769230769,0.0769230769230769,0,0,0,-0.0769230769230769,0.0769230769230769,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.1875,0.0625,0.25,0.03125,0,0.03125,0,0.0625,0.0625,0,0.1875,0.0625,0.25
15,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.142857142857143,0,0.142857142857143,0,0,0,-0.428571428571429,0.428571428571429,0,0,-0.142857142857143,0.142857142857143,0
6,0.166666666666667,0.166666666666667,0.333333333333333,0,0,0,0,0,0,0,0.166666666666667,0,0.166666666666667
7,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.037037037037037,0,0.037037037037037,0.037037037037037,0,0.037037037037037,-0.037037037037037,0.037037037037037,0,0,0,0.037037037037037,0.037037037037037
27,0.037037037037037,0,0.037037037037037,0.037037037037037,0,0.037037037037037,-0.037037037037037,0.037037037037037,0,0,0,0.037037037037037,0.037037037037037
17,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-0.333333333333333,0.333333333333333,0,0,0,0,-0.111111111111111,0.111111111111111,0,0,-0.222222222222222,0.222222222222222,0
8,0,0.25,0.25,0.125,0,0.125,0,0.125,0.125,0.125,0.25,0.125,0.375
17,0.294117647058824,0.117647058823529,0.411764705882353,0,0,0,0,0,0,0,0.235294117647059,0.0588235294117647,0.294117647058824
24,0.125,0.0833333333333333,0.208333333333333,0.0416666666666667,0.0416666666666667,0.0833333333333333,-0.0416666666666667,0.0416666666666667,0,0,0.0416666666666667,0.0416666666666667,0.0833333333333333
22,0.227272727272727,0,0.227272727272727,0.136363636363636,0,0.136363636363636,0.136363636363636,0,0.136363636363636,0.0454545454545455,0.227272727272727,0,0.227272727272727
8,0.25,0,0.25,0,0,0,-0.125,0.125,0,0,0.125,0,0.125
11,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0,0,0,0,0,0,0.0909090909090909,0,0.0909090909090909
17,0.235294117647059,0.0588235294117647,0.294117647058824,0,0,0,0,0,0,0,0.352941176470588,0,0.352941176470588
6,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.4,0,0.4,0.2,0,0.2,0.2,0,0.2,0,0.4,0,0.4
5,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.04,0.08,0.12,0,0,0,-0.08,0.08,0,0,0.04,0.04,0.08
4,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0.0952380952380952,0.0952380952380952,0,0,0,0,0,0,0,0,0.0952380952380952,0.0952380952380952
15,0,0.133333333333333,0.133333333333333,0,0,0,0,0,0,0,0.133333333333333,0,0.133333333333333
17,0.235294117647059,0.0588235294117647,0.294117647058824,0,0,0,0,0,0,0,0.176470588235294,0,0.176470588235294
5,0,0,0,0,0,0,0,0,0,0,-0.2,0.2,0
20,-0.15,0.15,0,0.05,0,0.05,0,0,0,0,0,0.1,0.1
8,0.125,0.125,0.25,0,0,0,0,0,0,0,0.125,0,0.125
13,0.307692307692308,0.153846153846154,0.461538461538462,0,0,0,0.0769230769230769,0.0769230769230769,0.153846153846154,0,0.230769230769231,0,0.230769230769231
11,0.0909090909090909,0,0.0909090909090909,0,0,0,0,0,0,0,0.0909090909090909,0.0909090909090909,0.181818181818182
11,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909
6,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0,0,0.166666666666667,0,0.166666666666667
10,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.4,0.1,0.5,0,0,0,0.1,0,0.1,0,0.3,0,0.3
10,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.05,0,0.05,0,0,0,0,0,0,0,0.05,0,0.05
9,-0.222222222222222,0.222222222222222,0,0,0,0,0,0,0,0,0.222222222222222,0,0.222222222222222
24,0.25,0.0416666666666667,0.291666666666667,0,0,0,0,0,0,0,0.208333333333333,0,0.208333333333333
19,0.263157894736842,0.0526315789473684,0.315789473684211,0,0,0,0,0,0,0,0.105263157894737,0.0526315789473684,0.157894736842105
16,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-0.111111111111111,0.111111111111111,0,0,0,0,-0.111111111111111,0.111111111111111,0,0,-0.111111111111111,0.111111111111111,0
13,0.0769230769230769,0.0769230769230769,0.153846153846154,0,0,0,0.153846153846154,0,0.153846153846154,0,0.0769230769230769,0.0769230769230769,0.153846153846154
16,0.125,0.125,0.25,0,0,0,0,0,0,0,0,0.0625,0.0625
15,-0.0666666666666667,0.0666666666666667,0,0,0,0,-0.0666666666666667,0.0666666666666667,0,0,0,0.0666666666666667,0.0666666666666667
15,0.133333333333333,0.0666666666666667,0.2,0.0666666666666667,0,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.133333333333333,0,0.0666666666666667,0.0666666666666667,0.133333333333333
8,-0.125,0.125,0,0,0,0,-0.125,0.125,0,0,0,0.125,0.125
8,-0.125,0.125,0,0,0,0,0.25,0,0.25,0,0.25,0,0.25
15,0,0.0666666666666667,0.0666666666666667,0,0,0,-0.0666666666666667,0.0666666666666667,0,0,0,0,0
15,0,0.2,0.2,0.0666666666666667,0,0.0666666666666667,0,0,0,0,0,0.0666666666666667,0.0666666666666667
23,-0.0869565217391304,0.0869565217391304,0,0,0,0,0,0,0,0.0434782608695652,0,0,0
23,-0.0869565217391304,0.0869565217391304,0,0,0,0,0,0,0,0.0434782608695652,0,0,0
6,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0,0,0.166666666666667,0,0.166666666666667
15,0.0666666666666667,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0
3,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333
21,0,0.0952380952380952,0.0952380952380952,0,0,0,-0.0476190476190476,0.0476190476190476,0,0,-0.0952380952380952,0.0952380952380952,0
21,0.238095238095238,0,0.238095238095238,0.0476190476190476,0,0.0476190476190476,0,0.0476190476190476,0.0476190476190476,0,0.19047619047619,0,0.19047619047619
14,0.214285714285714,0.142857142857143,0.357142857142857,0,0,0,-0.0714285714285714,0.0714285714285714,0,0.0714285714285714,0.142857142857143,0.0714285714285714,0.214285714285714
26,0.0384615384615385,0.0384615384615385,0.0769230769230769,0,0,0,0,0,0,0,0.0769230769230769,0.0384615384615385,0.115384615384615
22,0.0454545454545455,0.0909090909090909,0.136363636363636,0,0,0,-0.0454545454545455,0.0454545454545455,0,0,0.0909090909090909,0,0.0909090909090909
24,0.0833333333333333,0,0.0833333333333333,0.0416666666666667,0,0.0416666666666667,0,0,0,0,0.0416666666666667,0.0416666666666667,0.0833333333333333
22,0,0,0,0,0,0,0,0,0,0,0.0454545454545455,0,0.0454545454545455
13,0.153846153846154,0,0.153846153846154,0,0,0,0,0,0,0,0.0769230769230769,0,0.0769230769230769
26,0.423076923076923,0,0.423076923076923,0,0,0,-0.0384615384615385,0.0769230769230769,0.0384615384615385,0,0.230769230769231,0,0.230769230769231
3,0.333333333333333,0,0.333333333333333,0,0,0,-0.333333333333333,0.333333333333333,0,0,0,0,0
13,0.153846153846154,0,0.153846153846154,0,0,0,-0.0769230769230769,0.0769230769230769,0,0,0.153846153846154,0,0.153846153846154
19,0.0526315789473684,0.105263157894737,0.157894736842105,0,0,0,-0.0526315789473684,0.0526315789473684,0,0,0.105263157894737,0.105263157894737,0.210526315789474
4,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0
4,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
13,0.0769230769230769,0.153846153846154,0.230769230769231,0.0769230769230769,0,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0,0,0.153846153846154,0.153846153846154
15,0.2,0.133333333333333,0.333333333333333,0,0,0,-0.0666666666666667,0.0666666666666667,0,0,0.2,0,0.2
30,-0.0333333333333333,0.1,0.0666666666666667,0,0,0,0.0333333333333333,0,0.0333333333333333,0,0.166666666666667,0,0.166666666666667
17,0,0.0588235294117647,0.0588235294117647,0,0,0,0,0,0,0.0588235294117647,0.0588235294117647,0,0.0588235294117647
3,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333
24,0.166666666666667,0.0416666666666667,0.208333333333333,0,0,0,0,0,0,0,0.166666666666667,0,0.166666666666667
8,0.125,0,0.125,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0.0645161290322581,0.0645161290322581,-0.032258064516129,0.032258064516129,0,0.032258064516129,0,0.032258064516129,0,0.129032258064516,0,0.129032258064516
7,0,0.142857142857143,0.142857142857143,0,0,0,-0.142857142857143,0.142857142857143,0,0,0.142857142857143,0,0.142857142857143
8,0.125,0.125,0.25,0,0,0,0,0,0,0,0.125,0,0.125
9,0,0.111111111111111,0.111111111111111,0,0,0,-0.111111111111111,0.111111111111111,0,0,0,0.111111111111111,0.111111111111111
14,0,0.0714285714285714,0.0714285714285714,0,0,0,0,0,0,0,0.142857142857143,0,0.142857142857143
10,0,0.1,0.1,0,0,0,0,0,0,0,0.2,0,0.2
15,0.2,0.0666666666666667,0.266666666666667,0,0,0,0,0,0,0,0.4,0,0.4
18,0.166666666666667,0,0.166666666666667,0.0555555555555556,0,0.0555555555555556,0.111111111111111,0,0.111111111111111,0,0.111111111111111,0,0.111111111111111
